id,student_id,hw_id,module,title,topic,deadline,submitted_at,status,grade
51,stud_2551220,hw_1754,4,TMA #1754,Tutor-Marked Assignment,04/18/2026,2026-04-20 00:00:00+00,graded,67
52,stud_2551220,hw_1755,6,TMA #1755,Tutor-Marked Assignment,04/25/2026,NULL,missed,NULL
53,stud_2551220,hw_1756,8,TMA #1756,Tutor-Marked Assignment,05/02/2026,NULL,missed,NULL
54,stud_2551220,hw_1757,9,Exam #1757,Final Exam TMA1,05/09/2026,NULL,missed,NULL
55,stud_074372,hw_1752,1,TMA #1752,Tutor-Marked Assignment,04/04/2026,2026-04-02 00:00:00+00,graded,60
56,stud_074372,hw_1753,2,TMA #1753,Tutor-Marked Assignment,04/11/2026,2026-04-13 00:00:00+00,submitted,18
57,stud_074372,hw_1754,4,TMA #1754,Tutor-Marked Assignment,04/18/2026,2026-04-17 00:00:00+00,graded,67
58,stud_074372,hw_1755,6,TMA #1755,Tutor-Marked Assignment,04/25/2026,2026-04-29 00:00:00+00,graded,49
59,stud_074372,hw_1756,8,TMA #1756,Tutor-Marked Assignment,05/02/2026,NULL,missed,NULL
60,stud_074372,hw_1757,9,Exam #1757,Final Exam TMA1,05/09/2026,NULL,missed,NULL
61,stud_341872,hw_1752,1,TMA #1752,Tutor-Marked Assignment,04/04/2026,2026-04-03 00:00:00+00,graded,64
62,stud_341872,hw_1753,2,TMA #1753,Tutor-Marked Assignment,04/11/2026,2026-04-10 00:00:00+00,graded,64
63,stud_341872,hw_1754,4,TMA #1754,Tutor-Marked Assignment,04/18/2026,2026-04-19 00:00:00+00,graded,63
64,stud_341872,hw_1755,6,TMA #1755,Tutor-Marked Assignment,04/25/2026,2026-04-26 00:00:00+00,graded,70
65,stud_341872,hw_1756,8,TMA #1756,Tutor-Marked Assignment,05/02/2026,2026-05-05 00:00:00+00,graded,60
66,stud_341872,hw_1757,9,Exam #1757,Final Exam TMA1,05/09/2026,2026-05-10 00:00:00+00,graded,45
67,stud_1472925,hw_1752,1,TMA #1752,Tutor-Marked Assignment,04/04/2026,2026-04-03 00:00:00+00,graded,61
68,stud_1472925,hw_1753,2,TMA #1753,Tutor-Marked Assignment,04/11/2026,2026-04-10 00:00:00+00,graded,54
69,stud_1472925,hw_1754,4,TMA #1754,Tutor-Marked Assignment,04/18/2026,2026-04-15 00:00:00+00,graded,64
70,stud_1472925,hw_1755,6,TMA #1755,Tutor-Marked Assignment,04/25/2026,2026-04-23 00:00:00+00,graded,62
71,stud_1472925,hw_1756,8,TMA #1756,Tutor-Marked Assignment,05/02/2026,2026-05-01 00:00:00+00,graded,67
72,stud_1472925,hw_1757,9,Exam #1757,Final Exam TMA1,05/09/2026,2026-05-08 00:00:00+00,graded,65
73,stud_030268,hw_1752,1,TMA #1752,Tutor-Marked Assignment,04/04/2026,NULL,missed,NULL
74,stud_030268,hw_1753,2,TMA #1753,Tutor-Marked Assignment,04/11/2026,NULL,missed,NULL
75,stud_030268,hw_1754,4,TMA #1754,Tutor-Marked Assignment,04/18/2026,NULL,missed,NULL
76,stud_030268,hw_1755,6,TMA #1755,Tutor-Marked Assignment,04/25/2026,NULL,missed,NULL
77,stud_030268,hw_1756,8,TMA #1756,Tutor-Marked Assignment,05/02/2026,NULL,missed,NULL
78,stud_030268,hw_1757,9,Exam #1757,Final Exam TMA1,05/09/2026,NULL,missed,NULL
79,stud_292923,hw_1752,1,TMA #1752,Tutor-Marked Assignment,04/04/2026,2026-04-05 00:00:00+00,graded,43
80,stud_292923,hw_1753,2,TMA #1753,Tutor-Marked Assignment,04/11/2026,2026-04-13 00:00:00+00,graded,51
81,stud_292923,hw_1754,4,TMA #1754,Tutor-Marked Assignment,04/18/2026,2026-04-17 00:00:00+00,graded,46
82,stud_292923,hw_1755,6,TMA #1755,Tutor-Marked Assignment,04/25/2026,2026-04-29 00:00:00+00,graded,41
83,stud_292923,hw_1756,8,TMA #1756,Tutor-Marked Assignment,05/02/2026,NULL,missed,NULL
84,stud_292923,hw_1757,9,Exam #1757,Final Exam TMA1,05/09/2026,NULL,missed,NULL
85,stud_1763015,hw_1752,1,TMA #1752,Tutor-Marked Assignment,04/04/2026,2026-04-03 00:00:00+00,graded,68
86,stud_1763015,hw_1753,2,TMA #1753,Tutor-Marked Assignment,04/11/2026,2026-04-10 00:00:00+00,graded,50
87,stud_1763015,hw_1754,4,TMA #1754,Tutor-Marked Assignment,04/18/2026,2026-04-19 00:00:00+00,graded,41
88,stud_1763015,hw_1755,6,TMA #1755,Tutor-Marked Assignment,04/25/2026,2026-04-26 00:00:00+00,graded,55
89,stud_1763015,hw_1756,8,TMA #1756,Tutor-Marked Assignment,05/02/2026,NULL,missed,NULL
90,stud_1763015,hw_1757,9,Exam #1757,Final Exam TMA1,05/09/2026,2026-05-10 00:00:00+00,submitted,31
